"#","id","label","side","description","sensor"
1,56697,1,"right","VL – Vastus Lateralis","Avanti"
2,57644,2,"left","VL – Vastus Lateralis","Avanti"
3,57648,3,"right","RF – Rectus Femoris","Avanti"
4,56691,4,"left","RF – Rectus Femoris","Avanti"
5,56748,5,"right","VM – Vastus Medialis","Avanti"
6,55485,6,"left","VM – Vastus Medialis","Avanti"
7,85724,7,"right","BF – Biceps Femoris","Avanti"
8,85724,8,"left","BF – Biceps Femoris","Avanti"
9,57583,9,"right","ST – Semitendinosus","Avanti"
10,58147,10,"left","ST – Semitendinosus","Avanti"
11,55128,11,"right","LD – Latissimus Dorsi","Avanti"
12,55176,12,"left","LD – Latissimus Dorsi","Avanti"
13,57176,13,"right","GM – Gluetus Medius","Snap Lead"
14,61514,14,"left","GM – Gluetus Medius","Snap Lead"
15,62782,"Q1.1","right","TT – Trapezius Transversalis","blue"
16,62782,"Q1.2","right","DM – Deltoideus Medius","yellow"
17,62782,"Q1.3","right","TA – Trapezius Ascendens","green"
18,62782,"Q1.4","right","TD – Trapezius Descendens","black"
19,62780,"Q2.1","left","TT – Trapezius Transversalis","blue"
20,62780,"Q2.2","left","DM – Deltoideus Medius","yellow"
21,62780,"Q2.3","left","TA – Trapezius Ascendens","green"
22,62780,"Q2.4","left","TD – Trapezius Descendens","black"
